nr,battle,element,first,second
566,battle_of_reims_(1814),Location,"Reims, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°15′46″N 4°02′05″E﻿ / ﻿49.2628°N 4.0347°E","Reims, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°15′46″N 4°02′05″E﻿ / ﻿49.2628°N 4.0347°E"
567,battle_of_reims_(1814),Result,French victory,French victory
568,battle_of_reims_(1814),Belligerents,France,Russia  Prussia
569,battle_of_reims_(1814),Commanders and leaders,Napoleon Bonaparte  Auguste de Marmont  Michel Ney,Emmanuel de Saint-Priest   Georgi Emmanuel  Friedrich von Jagow
570,battle_of_reims_(1814),Strength,"13 March:  8,000-10,000","13 March: Russia: 7,800-9,000 Prussia: 4,000-5,600"
571,battle_of_reims_(1814),Casualties and losses,700,"6,000-8,000"
572,battle_of_arcis-sur-aube,Battle,Battle of Arcis-sur-Aube,Battle of Arcis-sur-Aube
573,battle_of_arcis-sur-aube,Date,20-21 March 1814,20-21 March 1814
574,battle_of_arcis-sur-aube,Location,"Arcis-sur-Aube, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°32′17″N 04°08′31″E﻿ / ﻿48.53806°N 4.14194°E","Arcis-sur-Aube, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°32′17″N 04°08′31″E﻿ / ﻿48.53806°N 4.14194°E"
575,battle_of_arcis-sur-aube,Result,Coalition victory,Coalition victory
576,battle_of_arcis-sur-aube,Belligerents,Austria  Bavaria  Russia  Württemberg,France
577,battle_of_arcis-sur-aube,Commanders and leaders,Alexander I  Karl von Schwarzenberg  Karl Philipp von Wrede  Crown Prince William,Napoleon Bonaparte  Nicolas Oudinot  Michel Ney  Horace Sébastiani Ambroży Mikołaj Skarżyński
578,battle_of_arcis-sur-aube,Strength,"74,000-107,900","Day 1: 18,000 Day 2: 28,000-30,000"
579,battle_of_arcis-sur-aube,Casualties and losses,"3,000-4,000","3,000-4,200, 3 guns"
580,battle_of_saint-dizier,Battle,Battle of Saint-Dizier,Battle of Saint-Dizier
581,battle_of_saint-dizier,Date,26 March 1814,26 March 1814
582,battle_of_saint-dizier,Location,"Saint-Dizier, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°38′18″N 4°56′59″E﻿ / ﻿48.6383°N 4.9497°E","Saint-Dizier, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°38′18″N 4°56′59″E﻿ / ﻿48.6383°N 4.9497°E"
583,battle_of_saint-dizier,Result,French victory,French victory
584,battle_of_saint-dizier,Belligerents,France,Russia
585,battle_of_saint-dizier,Commanders and leaders,Napoleon Bonaparte,Ferdinand Wintzingerode
586,battle_of_saint-dizier,Strength,"10,000-34,000","8,000-10,000, mostly cavalry"
587,battle_of_saint-dizier,Casualties and losses,600,"1,500-2,500 18 guns"
588,battle_of_ligny,Battle,Battle of Ligny,Battle of Ligny
589,battle_of_ligny,Date,16 June 1815,16 June 1815
590,battle_of_ligny,Location,"Ligny, United Kingdom of the Netherlands.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°31′13″N 4°34′53″E﻿ / ﻿50.52027°N 4.58140°E","Ligny, United Kingdom of the Netherlands.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°31′13″N 4°34′53″E﻿ / ﻿50.52027°N 4.58140°E"
591,battle_of_ligny,Result,French victory,French victory
592,battle_of_ligny,Belligerents,French Empire,Prussia
593,battle_of_ligny,Commanders and leaders,"Napoleon Bonaparte  Jean-de-Dieu Soult  Emmanuel de Grouchy  Antoine Drouot  Dominique Vandamme  Étienne Maurice Gérard  Georges Mouton, comte de Lobau",Gebhard von Blücher   Graf von Gneisenau  Graf von Zieten  Ludwig von Pirch  Johann von Thielmann
594,battle_of_ligny,Strength,"58,000-68,000","84,000-86,569"
595,battle_of_ligny,Casualties and losses,"8,300-9,100 killed, wounded or captured","16,000 killed or wounded 8,000 captured or missing 27 guns lost"
596,battle_of_waterloo,Battle,Battle of Waterloo,Battle of Waterloo
597,battle_of_waterloo,Date,18 June 1815,18 June 1815
598,battle_of_waterloo,Location,"Waterloo, United Kingdom of the Netherlands .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°40′41″N 4°24′44″E﻿ / ﻿50.67806°N 4.41222°E","Waterloo, United Kingdom of the Netherlands .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°40′41″N 4°24′44″E﻿ / ﻿50.67806°N 4.41222°E"
599,battle_of_waterloo,Result,Coalition victory,Coalition victory
600,battle_of_waterloo,Belligerents,France,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  United Kingdom  Prussia  Netherlands  Hanover  Nassau  Brunswick"
601,battle_of_waterloo,Commanders and leaders,Napoleon I  Michel Ney,"Arthur Wellesley, 1st Duke of Wellington  Gebhard Leberecht von Blücher"
602,battle_of_waterloo,Strength,"72,000-73,000.mw-parser-output .treeview ul{padding:0;margin:0}.mw-parser-output .treeview li{padding:0;margin:0;list-style-type:none;list-style-image:none}.mw-parser-output .treeview li li{background:urlno-repeat 0 -2981px;padding-left:21px;text-indent:0.3em}.mw-parser-output .treeview li li:last-child{background-position:0 -5971px}.mw-parser-output .treeview li.emptyline>ul>.mw-empty-elt:first-child+.emptyline,.mw-parser-output .treeview li.emptyline>ul>li:first-child{background-position:0 9px} 50,600 infantry 14,390 cavalry 8,050 artillery and engineers 252 guns","Total: 118,000-120,000 soldiers  Wellington's army: 68,000 soldiers 31,000  17,000  11,000  6,000  3,000 156 guns Blücher's army: 50,000"
603,battle_of_waterloo,Casualties and losses,"Total: 33,000 25,000 killed or wounded 8,000 captured","Total: 21,700 Wellington's army: 15,096 killed, wounded, or missing  • 6,540 British • 4,157 Dutch • 2,007 Hanoverians • 1,589 German legionaries Blücher's army: 6,604  • 1,144 killed • 4,155 wounded • 1,305 missing"
